	Id	ProductId	Rating	Title	ReviewText	IsRecommended	SubmissionTime	ContextDataValues.skinType.ValueLabel	ContextDataValues.eyeColor.ValueLabel	ContextDataValues.hairColor.ValueLabel	ContextDataValues.skinTone.ValueLabel	ContextDataValues.age.ValueLabel	ContextDataDistribution.skinConcerns.ValueLabel	Product_id_original
1	157739237	P163604	5	All Time Classic	Not one of the unchallenging, sweet, hyper-clean metrosexual fragrances you're probably used to. Colonia is a very old school citrus aromatic scent with a very mature, gentlemanly feel. One of the all-time classics.	True	2020-06-07T03:27:44.000+00:00							P163604
2	143973102	P163604	4	Eternally Simple, Clean and Classic	This scent I found for only $40 at Winners, and without smelling it, I bought it. I opened it up to experience a scent that instantly reminded me of Lush for some reason. It's masculine at first but softens into a genderless, mildly citrusy, slightly floral musk that changes form as the day wears on. The staying power isn't great; a few hours on skin, longer on clothes and fabric. The price is a lot for something that doesn't wear that long, but to each their own. It reacts well with my chemistry; I lean sweet in general, and prefer clean smells like Chanel No.5 (all variations), No. 19 Poudre, Chance eau Tendre or eau Vive, and so on. I usually only wear Chanel, but this is my new summer scent. It's never gaudy or overpowering. Works on anyone.	True	2020-03-13T00:57:35.000+00:00	Combination	Brown	Auburn	Fair			P163604
3	139856657	P163604	5	Timeless classic	"Elegance and refinement in a bottle! This fragrance has a phenomenal history. Cary Grant, Ava Gardner, Kevin Costner and Sharon Stone made known how passionate they were about Colonia. 
I’d say it’s more of a men’s cologne but I can see it being unisex as well. In that case, it’s more of a statement. Very refreshing and uplifting! 
Signature cylindrical bottle, rounded box and bright yellow packaging looks very chic and classy. If that’s not the best present for a loved one I don’t know what is. 
Lasts 8  hrs"	True	2019-12-20T18:25:49.000+00:00	Combination						P163604
4	135796812	P163604	5	Loved it !	Smells amazing and refreshing.You’ll love it, if you like light and long-lasting perfumes. Expensive but worth it too.	True	2019-09-13T02:19:03.000+00:00	Normal	Brown	Black	Medium			P163604
5	129677363	P163604	5			True	2019-06-16T17:55:10.000+00:00	Combination	Blue	Blonde	Fair			P163604
6	125470521	P163604	5		In my Top 10 best fragrances	True	2019-03-14T16:15:02.000+00:00				Medium			P163604
7	124283957	P163604	5	My everyday, my go-to, my one	Classic, fresh, unique	True	2019-02-08T16:29:44.000+00:00	Normal	Hazel	Auburn	Porcelain			P163604
8	106167908	P163604	5	Fresh Summer Fragrance	Fresh fragrance which I personally think is best worn in the summer months. Lasts a long time on my skin.	True	2017-10-16T16:40:36.000+00:00	Normal	Blue	Gray	Light			P163604
9	98264111	P163604	5	Fresh scent without being feminine	"This is a good fragrance for daytime wear, very fresh and bright without being feminine. Hubby likes to wear this one in the spring/summer. 

Overall very nice!"		2017-06-26T15:22:50.000+00:00					35-44		P163604
10	75423286	P163604	5	Fresh Scent - Not Old Man or Old Woman Smelling	"What a great fresh citrus scent! I don't get the ""old man"" or ""old woman"" reference that you read very occasionally in some reviews about this fragrance. If it's true then there are some fantastic smelling senior citizens out there!

Lasts 4-6 hours on my skin. Incredibly clean smelling after the citrus dries down a bit. I'll always have this fragrance in my collection."		2016-10-31T20:11:02.000+00:00							P163604
11	72291803	P163604	5	classic	this makes me feel like i just visited my uncle gino's barber shop and came out feeling like a million bucks ..lots of lemons up front and cools down to a classic flowery powdery ...so great		2016-08-24T00:48:27.000+00:00							P163604
12	65893957	P163604	5	OMG	So I took this sample with me when I went on vacation,and I found a fragrance for life. It's so incredibly fresh that it truly does out you in a better mood. I can occupy myself for a considerable amount of time just trying to smell all the different notes that this fragrance offers. This is the one fragrance that I will not tell anyone what it is. Call me selfish but it is really that good.		2016-05-17T05:49:52.000+00:00							P163604
13	58730385	P163604	5	Amazing Clean	Beautiful fragrance. Clean, floral, slight woody. Both Cary Grant and Audrey Hepburn wore this. Unisex, smells like Italy.		2016-01-27T17:13:17.000+00:00					25-34		P163604
14	47910223	P163604	3	Top Notes Are Powerful	Definitely an overpowering smell right at first. It requires some time before the first notes die down. Only after that will I find the fresh scent to be quite lovely. The citrus notes are barely detectable at first, but will linger in a really gentle blend with the other notes. Not something I'll wear, but it is a scent I would enjoy sniffing as I walk into a bathroom or something. Didn't enjoy this product as much as I had hoped. Nonetheless, scent is great (after top notes fade).		2015-07-27T06:49:52.000+00:00					18-24		P163604
15	47751409	P163604	4	Great unisex scent for summer	"Class. Sophistication. Elegance.

Colonia is a beautiful trip of nostalgia. Although the citrus, floral and warm basenotes definitely compliment me as a woman, they bring to mind the crisp citrus and spice splash the barber used on my father and grandfather after a cut and shave on Saturday mornings. There is also a light soapiness that smells like clean skin after a shower.

My husband and I both enjoy this classic scent. The longevity is only a few hours, hence the four stars. However, this lovely scent is well worth the price and the extra application later in the day."		2015-07-20T14:32:11.000+00:00					45-54		P163604
16	47500954	P163604	5	My New Signature Scent	When I first apply it, I get a beautiful, sharp citrus. Within 30 minutes or so, it becomes a soft, powdery, clean scent. It IS old man-ish/old lady-ish, but in the best way possible, I think. I've only worn it today, and I can already tell it's my new favorite. Very cool and sophisticated. Simple, yet complicating. Something about it reminds me of the Greenbrier Resort or a southern country club. Love it!		2015-07-08T17:31:47.000+00:00					18-24		P163604
17	45820361	P163604	5	Can't get enough!!	I have bought this scent now for my husband 2x and with that sticker price believe me it's worth it!! I love the scent and it wears well all day. It's a distict and subtle not overpowering scent.		2015-05-15T15:47:09.000+00:00					35-44		P163604
18	38856167	P163604	5	Love it!	Fresh clean and def manly, I love it and so does my hubby. It doesn't smell synthetic and does get better with time. I can see why it's been around so long!		2014-08-21T06:20:44.000+00:00							P163604
19	36391909	P163604	4	I like it a lot	"I want to love this. But I merely like it - a lot, though! It is iust a bit too sharp for me. I love citrus-based scents and this definitely falls into that category. Unfortunately, because Sephora does not carry this in my local (or any???) store, I had buy it ""scent unsniffed"" haha. (Sight unseen...) I do think the body lotion would be just lovely with a slightly ""warmer"" scent layered on top.

I will not return it. I do like it! If you can test it in, say, another store, do.... It may work better for you, as everyone reacts differently to perfume.

It does smell ""luxurious,"" if that makes sense. And I do feel luxuriant spraying it on.

Oh, one last thing. It does not last terribly long on me. But... I have yet to find a perfume that will last more than three hours on my skin."		2014-05-02T22:42:46.000+00:00					35-44		P163604
20	30348669	P163604	5	Fresh, sophisticated, elegant	I've been searching for years to find a woman's scent that smells elegant and clean. The search is over---Audrey Hepburn and I agree. Acqua di Parma is sun-drenched Italian Riviera with a deep green dry-down--and very hard to find. (Fortunately Sephora carries it.) Expensive? Yes. And it smells like it. BRAVO!		2013-08-02T15:23:54.000+00:00					over 54		P163604
21	30207754	P163604	4	My husband loves it	I got a sample of it with my order thinking it was a women's scent. I ended up giving it to my husband and he wasn't sure about it at first but ended up falling in love with it. I love it on him. It smells a little like feminine citrus perfumes to me but its still nice .		2013-07-30T16:21:41.000+00:00							P163604
22	30155473	P163604	5	Love this...	I must admit, I bought this for myself thinking that it's often touted as unisex. Hmm...I like a variety of scents but I always felt like I was wearing a man's cologne with this. So I gave it to my 24 year old son. He loves it. He told me that people are always complementing him on this fragrance, more so than with any other fragrance. It actually does smell much better on him than it ever did on me, classic, very clean and masculine.		2013-07-24T18:19:00.000+00:00					over 54		P163604
23	28981241	P163604	2	A little too Old School for us	I got this for my husband and I to try since I heard it is a unisex fragrance. Uh, not really. It's pretty manly, and by manly I mean 80 year old European. We just thought it was soapy, medicinal-herbacous and not for us. Thankful for Sephora's generous return policy.		2013-05-07T19:15:40.000+00:00					45-54		P163604
24	26456023	P163604	1		This gave me a terrible headache. It is one of those scents you can't wash off. It reminds me of public restrooms--it is like a toilet-y scent masked with scented bathroom cleanser.		2013-01-07T17:14:28.000+00:00					35-44		P163604
25	26384327	P163604	5	amazing classic scent	I can wear this cologne daily. It will never go out of style. I just wish it lsted longer.		2013-01-02T07:06:59.000+00:00					45-54		P163604
26	26331565	P163604	1	Mossy, Earthy, Icky	I don't agree with the description that this is fresh, luminous, or elegantly timeless. It's extremely heavy on the patchouli/orange notes but to be honest, it simply smells like a generic soap that's overstayed its welcome. I would not recommend this to anyone.		2012-12-29T07:35:36.000+00:00					25-34		P163604
27	26298853	P163604	5	Perfume with memories attached	"This is a wonderful perfume that balances a classic, woodsy masculine scent with the crispness of citrus.

Interesting story: when I first sprayed it on my wrist, it drove me CRAZY trying to figure out what it reminded me of, because it is incredibly evocative of a scent from my childhood. I asked my boyfriend and he insisted that it was ""old Old Spice, before they reformulated."" But I knew that couldn't be it. Finally, I put my finger on it: it smells almost EXACTLY like that Tinkerbell cologne they sold for little girls (maybe they still do?) when I was a child. Stronger smelling, of course, but a dead ringer!"		2012-12-27T04:49:12.000+00:00					25-34		P163604
28	26291372	P163604	3	a classic but not a wow	This is a great everyday scent - it does not linger too long and smells light and clean. The dry down is almost non-existent, you will not be aware of it. I am glad I only got a small size. I coveted it for so long only to find that it really doesn't do much for me. I like the scent but it's not evocative enough.		2012-12-26T19:54:22.000+00:00					35-44		P163604
29	26280662	P163604	1	CLEANER	This frgrance reminds me of a household cleaner I hate it! I love woodys smells this however is nothing like I imigained YUCK...		2012-12-26T01:24:32.000+00:00					25-34		P163604
30	26054218	P163604	5		I got this for my boyfriend, whom I love dearly. He works as a lawyer, and is often involved in community and human rights issues. He goes for conferences a lot. He is young in his late 20s, but his drive and motivation and tenacity matches the scent of this perfume. I was deciding between terre d'hermes and this, and decided on this. It has a classic scent to it, its darker and richer and more manlier I suppose, and it comes off as an intimidating smell. Not to be worn by softy types. It takes a personality and a persona to wear this scent fittingly. It doesn't last extremely long though and there is a need for him to constantly reapply. I love the scent on him, reminds me of good old awesome roll of cigar.		2012-12-09T01:38:11.000+00:00					25-34		P163604
31	25494513	P163604	5	by far my favorite	"as a long time lover of perfumes I find that my tastes have evolved as i've ""aged"" And I'm not old! But I really love the subtle, clean scent of Acqua di Parma. Its now my go to and even scents i used to find subtle seem overpowering to me. I've never smelled this on a man, but I know as a woman, I've never received more compliments on my ""scent"" than since i started wearing this one. I hightly recommend it!"		2012-10-23T15:33:33.000+00:00					35-44		P163604
32	23855549	P163604	5	classic, timeless	This fragrance is a classic, clean fragrance that several generations of men have worn. My grandfather wore this. It is definitely a mens cologne. Even though it has a floral note and a soapy end note, I think it is a bit strong and masculine in the middle for most women to carry. It has been my favorite for about 20 years. Almost daily compliments on this fragrance, guys.		2012-06-01T05:41:08.000+00:00					45-54		P163604
33	23852240	P163604	5	Not for a woman?	This is my new favorite scent. I received as a sample, and will be buying a full size bottle. I thought it was a women's cologne, but after reading all these reviews I'm realizing it may be for men? At any rate, I think the scent is clean and definitely unisex, although it is a bit masculine smelling. I will have my hubby try. Maybe he will like too?		2012-05-31T21:18:43.000+00:00					35-44		P163604
34	23079983	P163604	5	Awesome Product!	This product is great! Go buy it!		2012-04-01T12:22:50.000+00:00							P163604
35	22904293	P163604	5	Classic, clean fragrance	Unisex fragrance, Fresh, almost soapy smell. I love this stuff.		2012-03-21T13:20:59.000+00:00					45-54		P163604
36	21672431	P163604	5	A must have!	I bought this for my friend & he loves it. It has become his signature cologne! The smell is a little lemony but has a nice crispy floral undertone. The scent stays for hours and is not overbearing. I would highly recommend this cologne.		2012-01-24T00:00:44.000+00:00					18-24		P163604
37	21514042	P163604	5	Clean Scent	I bought this cologne based on previous reviews. It is a very clean and mature scent. You definately pick up a lemony smell at first but it changes and the other notes develop. My boyfriend loves fresh scents and really liked this gift. It is not your typical scent and I would recommend it for someone who doesn't want to smell like every other man out there.		2012-01-12T05:36:54.000+00:00					25-34		P163604
38	19065919	P163604	5	A Favorite!	I purchased this for my husband after I gave him a sample from a recent Sephora order. My husband has a rather decent and interesting fragrance collection and Acqua di Parma is one of his favorites for summer. It smells, great on him - masculine, citrusy, crisp, refreshing.		2011-07-20T12:58:25.000+00:00					45-54		P163604
39	18746208	P163604	3	Undecided	After ready all the reviews, I finally broke down and ordered this for my husband. We were both excited to smell it. At first it is very lemony, reminds me of lemon scented Pledge, then it smells like wood in a fire pit the night after-sort of smokey and woodsy. Got to say, it is just all right. But once it develops, it is interesting. I am not going to say that I absolutely love it, but it is intriguing. My husband seems to like it a bit more than I do. Maybe I should try it on...lol.		2011-06-16T14:26:20.000+00:00					35-44		P163604
40	18732773	P163604	3	Good scent for mature crowd	The scent is definitely timeless, but meant for an older crowd. The quality of this scent is one of the best in my small collection of fragrances. I'm giving my bottle to my father who is obsessed and in love with Obsession by Calvin Klein.		2011-06-15T00:08:37.000+00:00					18-24		P163604
41	18451894	P163604	5	Citrusy and Masculine	This fragrance has it all- A unique scent-pure citrus and elegance without being to perfumey. It is a crisp clean scent that , I agree with , is timeless.		2011-06-10T14:29:39.000+00:00					35-44		P163604
42	18395040	P163604	1	Very Disappointed!	I didn't like the smell of this at all. To me it has a very masculine scent going on and stayed that way as time went on--I had to wash my arms to get the smell off. I was very disappointed as I have read great things about this product. Returned to store.		2011-06-05T05:50:25.000+00:00					45-54		P163604
43	18299465	P163604	5	Love this stuff	I have been wearing this exclusivley for about three years. I get stopped at least once a week by people wanting to know what I'm wearing. I love the smell and it goes with just about every mood I'm in. It also lasts a lot longer then other fragrances I've used...Bulgari, CK, Red Door and a ton others.		2011-05-25T23:17:23.000+00:00					35-44		P163604
44	17882898	P163604	3	Not for women, but great for hubby	"I purchased this while attempting to track down an old scent that I'd come across back in 1998. I still haven't found it, but this was close....just the ""male"" version of it. Very clean, newly showered scent. Hubby likes it and so do I.......on HIM!"		2011-04-22T12:09:46.000+00:00					35-44		P163604
45	17207930	P163604	5	Classic Clean Scent	I buy Acqua di Parma products for my husband and he loves them all. Very clean scent. Very high quality products. Wish they would bring back the shampoo.		2011-02-25T13:17:53.000+00:00							P163604
46	16661286	P163604	5	Classic	Classic, clean men's scent. My husband is a big fan and always likes receiving this as a gift.		2011-01-06T20:54:32.000+00:00							P163604
47	16606458	P163604	5	Classic scent, uplifting	"I first found out about this line via hotel bath samples during a business trip many years ago, and I instantly fell in love with it. As soon as I got home, I tracked it down and it instantly became my signature scent for years.

It's light, clean, uplifting, and perfect for work / day. It lasts at least twice, possibly three times, as long as any of my other perfumes (Tokyo Milk, Hermes, etc.). It has delicate citrus overtones to it, which always remind me of warm sunshine, and helps give me a boost on gloomy days.

The price is high, but as the over used saying goes, 'you get what you pay for.' For me, the overall quality (as opposed to the scent) of Acqua di Parma is the standard by which I now assess all perfumes when I'm considering a purchase."		2011-01-02T00:57:12.000+00:00					35-44		P163604
48	16182385	P163604	3	Nice but just ok.	This has a very clean crisp smell but it doesnt last that long. I do like it but its just o.k. to me.		2010-11-17T03:31:31.000+00:00					25-34		P163604
49	15721603	P163604	4	Not just for men	I love this scent. It smells great on my husband, but it actually also smells really good on me. The scent is citrusy at first, but mellows to something a bit more complex, a bit musky and heady. Women's perfumes always disappear on my skin after about an hour, but this stays and stays.		2010-10-02T11:36:01.000+00:00					25-34		P163604
50	15006706	P163604	5		Classic, classy and clean.		2010-08-16T19:37:45.000+00:00					45-54		P163604
51	14624496	P163604	1	Not light and citrusy	This is another from the acqua di parma line that claims to be citrusy and summery, but only wreaks of old lady. I enjoy and wanted other light summery scents but this one is something of old lady. A very odd scent but one I did not enjoy at all.		2010-07-08T12:38:40.000+00:00					25-34		P163604
52	14433387	P163604	5	sexy colonial	This fragrant first has a spicy, incense-like aroma for about 10 minutes then it dries down to a light amazing fresh french soap kinda scent that lasts for a good 6-8 hours. I caught myself sniffing at the sprayed spot every so often just so to be mentally transported back to my short honeymoon trip in Paris... Classic! Beautiful perfume!		2010-06-10T00:03:12.000+00:00					25-34		P163604
53	14413848	P163604	2	Disappointed	I have been looking for a Rosemary and Lavender perfume for years and was convinced Colonia would be amazing. But it smelled like musty, men's cologne. Sad!		2010-06-06T17:30:05.000+00:00					25-34		P163604
54	14334074	P163604	5	Absolutely Fabulous!!!	Fresh smell, can be used by men or women. The wonderful refreshing scent of lavander is a treat!		2010-05-25T00:12:06.000+00:00					35-44		P163604
55	13862028	P163604	5	Fresh and smooth.	Truly a refreshing scent. Goes on smoothly without any irritation. Having tried a multitude of disappointing deodorants whose initial scent/character changed by evening, it was a pleasant surprise to find one which maintained it citrus/blossom smell. So good I could (almost) eat it !!!! Buy this deodorant without regret.		2010-04-01T18:30:34.000+00:00					35-44		P163604
56	13857754	P163604	5	AFTER SHAVE SMELLS GREAT ON MY HUSBAND	My husband was gifted with the after shave, and it spells so fresh and clean. It's citrusy and there's lavender (which I love with citrus) and spices, and it smells really good. He's gotten compliments while wearing it. Although his is after shave, I think it might also be a fragrance women would like to wear (but not the after shave) because a lot of women really seem to like it, judging by their comments.		2010-04-01T01:30:39.000+00:00					45-54		P163604
57	13460333	P163604	4	Lemony & Fresh	Such a beautiful scent & lemony fresh. So fantastic.		2010-02-14T22:32:39.000+00:00					25-34		P163604
58	13274834	P163604	5	Serious sophistication.	"I've had this cologne for quite some time,but just gotten around to reviewing it. This is my favorite grownup scent.I purchased it at Disney's Epcot center,in the Italian pavillion.I liked it right away,and when the beautiful Italian saleswoman told me that it was a signature scent of Audrey Hepburn,I was sold. (Guess you had to be there).
It's a beautiful cologne,but for some reason,I only wear it in winter. It's heady and very easily overdone.However,it's fabulous if you remember to spray,stay,and walk away. One bottle will last me a very long time."		2010-01-18T21:21:05.000+00:00					over 54		P163604
59	12935726	P163604	2	Okay but not for me...	I received a decant of this fragrance and read numerous glowing reviews of this classic scent. However, after trying it for myself, I have to say that it is not something I would wear. I could possibly see this work on others. I would describe it as a mature fragrance with the lavender being the most distinguished note that carries throughout the fragrance as well as a strong cedarwood flow. It conjures up, for me, handmade lavender soap given to me as a gift and an image of a one room school house from the 1880's (yeah I know, don't get ME to write a perfume description, lol)		2009-11-29T09:22:02.000+00:00					18-24		P163604
60	12231032	P163604	5	Classic, elegant, sophisticated sexy	My boyfriend wears this scent and I was addicted from the moment I smelled it on him. This cologne has a beautiful light aroma that reminds you of exotic Mediterranean vacations and yet embodies the sexy sophistication of the successful go-getter who embraces life. I HIGHLY recommend this scent!		2009-09-02T20:48:29.000+00:00					25-34		P163604
61	12190446	P163604	5		Absolutely LOVE this scent. It's soft enought to wear with other fragrances.		2009-08-27T17:20:07.000+00:00					25-34		P163604
62	11669956	P163604	5	Great scent	Ive been looking around for a new scent...and think Ive finally found it! Ill be using this often:)		2009-07-04T05:51:36.000+00:00					35-44		P163604
63	11666220	P163604	4	great gift for our man	its so sexy soft but masculine at the same time, i love it when he uses it and he was so happy to have it...		2009-07-03T04:31:51.000+00:00					25-34		P163604
64	11622905	P163604	5	lovely	This scent is magical for me..Its airy and reminds me of a summer day in italy. Just such a great scent for everyday wear!		2009-06-23T20:12:49.000+00:00					45-54		P163604
65	11580856	P163604	5	Good Taste	Smells clean, classic, and stylish.		2009-06-17T21:59:22.000+00:00					35-44		P163604
66	11573131	P163604	5	Love It	"This scent has become a holy grail for me - it's lemony and crisp and a perfect pick me up. Lots of throw and wearability, dries down nicely and stays on for quite sometime. A lovely splurge and, for me, a signature scent.

It's a little masculine, but until I can find a man who smells like Colonia I'll be happy sniffing myself all day."		2009-06-16T17:18:45.000+00:00					25-34		P163604
67	11308191	P163604	5	elegant	the whole line is simply amazing!		2009-05-06T19:51:20.000+00:00					35-44		P163604
68	11252274	P163604	5	Acqua Di Parma	Came across this at a hotel in Italy and have been using it ever since. LOVE the light scent.		2009-04-29T02:59:48.000+00:00					35-44		P163604
69	10870252	P163604	5	Fresh and classy	Love this classic fragrance! Wearing it cheers up its wearer and puts a spring in your step!		2009-02-28T03:19:21.000+00:00					35-44		P163604
70	10312499	P163604	5		Beautiful, classic sent that is not overwhelming. Can use it everyday.		2008-11-18T16:39:16.000+00:00					35-44		P163604
71	10175395	P163604	5	Decadent	I feel so sexy, luxurious,and sensual as soon as put this on. It last all day and is not overpowering at all. I get so many compliments. Is a little bit of a splurge for me, but all worth it!!!!!		2008-10-28T23:44:24.000+00:00					35-44		P163604
72	9346171	P163604	2	Acqua Di Parma Shampoo	It's just okay - I bought it to enjoy the fragrance but there is very little scent during shampooing and no scent left on the hair after. It also leaves my natural untreated blonde hair dry, so if you color your hair it might make it even drier. Definitely need a conditioner after using it.		2008-10-23T18:47:56.000+00:00							P163604
73	9295474	P163604	4		Acqua di Parma is a magnificent sent. I loved it as well as those around me.		2008-10-15T01:46:44.000+00:00					35-44		P163604
74	9204651	P163604	4	Shower Gel	"It left my skin super smooth and silky!
I'm not crazy about the smell but it's not bad. Very clean."		2008-09-29T00:50:18.000+00:00					18-24		P163604
75	9148804	P163604	5	Such a Classic	This would be a good fit for almost anyone. It's extremely versatile.		2008-09-20T12:47:42.000+00:00					25-34		P163604
76	9071242	P163604	5	The alltime favorite scent...	"If on a grey morning you need a great pick-me up, chosse this fresh cologne! Considering the perfume concentration of this cologne, the scent stays on astonishingly long and gets only better over time.
And hey - it even does an excellent job as a spot treatment on little skin blemishes..."		2008-09-11T23:37:06.000+00:00					35-44		P163604
0	175288935	P375388	5	100% fragrance	Absolutely love this fragrance! I’m a huge fan of Acqua Di Parma! To those of you who complain about the fragrance not lasting long enough... this is a true natural fragrance and the methods use to make them haven’t changed since creation. Today’s fragrances have lots of additional chemicals to make the fragrance last longer. Acqua Di Parma is a true luxury fragrance.	True	2021-03-15T03:01:08.000+00:00							P375388
1	167502792	P375388	1	not at all what the key notes describe	It smells like men’s cologne.. no Carmel, no citrus.. just a dude. If That’s what your looking for then you e got it but if you’re looking for a perfect sweet and citrus, Capri in a bottle - that isn’t this.	False	2020-12-09T02:20:30.000+00:00	Combination	Hazel	Brunette	Medium			P375388
2	161967609	P375388	2		Beautiful scent, but no lasting power.  I’m talking less than 2 hours if that!	False	2020-08-28T13:34:20.000+00:00	Combination	Brown	Black	Medium			P375388
3	160449123	P375388	2	Disappointing	Very disappointing. I had a sample, liked the scent but could barely smell it. Decided to order the set with cologne, shower get and lotion, thinking that by layering it, it would be stronger. Nope. Don't waste your money.	False	2020-07-28T20:54:39.000+00:00	Combination	Brown	Blonde	Fair			P375388
4	159219987	P375388	4	Citrus Mediterranean	Fabulous, but wish scent lasted longer.  Put me in a great vacation to Europe like mood.	True	2020-07-07T16:24:58.000+00:00	Dry	Brown	Brunette	Light			P375388
5	156995812	P375388	2	Pretty, but scent doesn't last.	Smells good, but the scent does not last. Works best as an accessory or a room spray, rather than a perfume.	False	2020-05-27T14:14:24.000+00:00	Dry	Hazel	Brunette	Light			P375388
6	138980171	P375388	5		I’ve received a sample as a gift, but really fell in love with it and considering getting a full size version. It’s very refreshing, very light but also distinctive. For something that is so light and summery, it actually offers a lot of complexity. Beautiful watery fig and zesty citrusy notes - it’s anything but boring. It lasts on my skin about half a day, and way longer if I spray it on my hair. I feel like on a hot day it lasts longer and opens up more citrusy, too.	True	2019-12-02T21:41:18.000+00:00							P375388
7	127686616	P375388	4	So Fresh and So Clean	Bright and citrusy. Really evocative of smelling a freshly cut orange by the sea side... only better! Doesn't have phenomenal staying power, so you could probably spray it generously, or purchase the travel size and use it frequently.	True	2019-05-06T16:22:30.000+00:00	Oily	Blue	Blonde	Light			P375388
8	124928803	P375388	4		I love Italian cologne but this one is to heavy at first and vanishes minutes later, not for me!	False	2019-02-27T23:16:03.000+00:00	Combination	Green	Blonde				P375388
9	122386859	P375388	5	Amazing	Love it. Smells soooooo good!!!!	True	2018-12-19T07:27:40.000+00:00	Combination	Brown	Black	Medium			P375388
10	118234104	P375388	4		A beautifully light and sparkly combination of citruses. The mandarin is invigorating and transports me somewhere along the water. It’s perfect for the summer time! Too bad the longevity is not great, but I still love wearing this in the warmer months when I don’t prefer something heavy or overpowering.	True	2018-08-28T21:54:36.000+00:00	Dry	Brown	Black	Olive			P375388
11	117951636	P375388	4	Wonderful Citrus Scent!	I received this as a gift to review via Octoly. If you love citrus fragrances, this one is so lovely. It smells so refreshing, like a warm summer day on vacation. I only took off 1 star because it's an Eau de Toilette and that fragrance doesn't last more than 2 hours or so. I wish it came in an Eau de Parfum version! Overall definitely recommend it!	True	2018-08-21T17:15:48.000+00:00	Dry	Brown	Blonde	Medium			P375388
12	116732183	P375388	5	In love	This scent smells soooo good! Love the fresh, citrus scent it gives off. My fave from this line! Stays on skin for a while! Definitely a must have for summer!	True	2018-07-30T04:15:45.000+00:00							P375388
13	115613590	P375388	4	Fresh summer fragrance	It smells fresh citrusy, cool, very summer appropriate. Its not overpowering at all. I normally put this on a very hot summer day or warm rainy day. It is unisex and I have been complimented by men how good it smells. It however only lasts for 2-3hours and that is why I am giving it 4 stars. Otherwise, it is one of my favorite scent during the spring to late summer.	True	2018-07-15T18:04:53.000+00:00	Combination	Brown	Black	Fair			P375388
